Event ID,Event Name,Focus Unit,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T20,T30,T40,T50,T100,T200,T300,T400,T500,T1000,T2000,T3000,T4000,T5000,T10000,T20000,T30000,T40000,T50000,T100000
60,Wishing to the Blue Sky for Your Happiness!,An Shiraishi,"158,267,612","140,000,726","139,302,726","126,726,037","72,608,302","63,686,883","60,302,726","57,261,206","57,009,271","55,726,302","38,302,726","35,211,567","25,726,032","22,938,022","14,730,440","7,053,812","5,647,713","5,048,238","4,915,832","3,653,904","2,510,760","2,140,089","1,950,325","1,851,953","1,239,441","809,159","630,730","527,927","456,099","260,850"
61,What Lies Beyond Guiding a Lost Child,Mafuyu Asahina,"170,000,127","160,000,127","155,853,764","152,023,227","70,271,278","70,127,720","70,000,827","68,127,127","65,088,127","64,002,701","48,111,227","35,555,554","30,432,666","28,447,938","15,625,407","7,615,036","5,766,852","5,086,375","4,824,486","3,518,009","2,233,852","1,851,263","1,676,735","1,615,093","1,104,824","737,094","586,490","498,247","438,120","268,215"
62,Desperate Times?! Island Panic!,Nene Kusanagi,"100,000,000","91,000,720","90,900,720","65,014,616","64,000,720","62,909,909","62,907,158","62,311,208","61,500,223","56,726,276","20,057,952","18,080,975","14,136,282","12,048,298","7,953,910","4,402,086","3,800,000","3,402,563","3,324,794","2,584,205","1,795,248","1,551,926","1,432,216","1,377,784","966,465","665,089","538,622","463,692","411,297","257,065"
63,Let's Enjoy Together! SpoJoy Park,Kanade Yoisaki,"130,319,430","120,108,210","100,044,210","80,000,000","80,000,000","80,000,000","80,000,000","70,000,414","60,000,210","54,000,009","41,900,713","37,628,049","31,223,840","30,210,430","20,210,127","8,815,406","6,809,053","6,107,947","5,838,129","4,275,120","2,925,349","2,499,132","2,280,890","2,174,028","1,436,325","940,565","735,737","615,886","535,258","311,535"
64,The Vivid Old Tale,An Shiraishi,"281,726,302","232,525,726","227,566,671","215,246,726","72,600,302","64,000,726","51,726,037","51,726,037","51,211,726","50,726,302","35,000,111","27,726,665","23,726,302","22,110,610","14,332,651","5,787,658","4,657,653","4,069,420","3,897,908","2,872,455","1,900,029","1,629,400","1,503,563","1,451,791","1,000,878","682,650","549,664","471,546","416,291","256,821"
65,No seek No find,Saki Tenma,"225,503,530","159,811,802","150,922,200","95,000,423","80,018,059","77,509,517","77,085,801","77,085,801","76,996,636","59,000,509","53,807,268","49,367,774","35,629,390","23,037,632","13,586,870","6,028,596","4,829,322","4,008,289","3,872,315","2,790,900","1,823,428","1,560,780","1,441,869","1,389,375","976,607","670,480","540,225","463,797","409,390","250,248"
66,close game/OFFLINE,Nene Kusanagi,"207,200,909","172,288,375","163,490,093","163,239,492","126,909,720","126,909,720","126,222,666","124,011,863","122,525,909","121,700,524","62,000,909","52,572,099","48,594,268","45,501,387","30,554,984","14,720,153","11,215,148","9,332,394","8,755,955","5,996,977","3,592,143","2,923,521","2,618,361","2,515,453","1,665,591","1,061,880","823,060","684,969","590,423","331,561"
67,Chasing The Sparkle Beyond the Blue Sky,Airi Momoi,"222,222,222","180,319,302","126,319,930","111,520,325","79,064,907","63,000,319","62,751,000","61,200,193","56,212,283","51,516,488","32,037,206","24,618,044","22,590,148","19,456,626","12,020,149","5,420,511","4,342,686","3,833,562","3,665,653","2,715,320","1,812,120","1,565,023","1,448,808","1,390,397","965,957","661,300","531,012","453,762","398,581","239,216"
68,"And Now, I Wear This Ribbon",Mizuki Akiyama,"250,000,827","228,327,787","182,777,722","110,827,430","110,827,430","110,827,430","108,607,314","101,010,101","100,511,028","91,827,803","66,717,827","50,080,604","38,270,831","32,053,394","18,545,769","8,632,823","6,408,185","5,711,163","5,497,801","3,867,986","2,384,696","1,999,825","1,819,545","1,753,490","1,195,872","795,444","628,725","533,730","468,690","276,161"
69,Don't lose faith!,Shiho Hinomori,"212,000,108","208,642,086","108,811,204","81,100,000","69,696,969","69,696,969","69,696,969","69,696,969","67,108,864","60,115,801","30,218,801","25,808,302","23,290,591","22,772,222","13,465,123","6,754,348","5,076,280","4,721,743","4,599,509","3,459,905","2,411,394","2,076,277","1,870,902","1,767,807","1,162,055","750,781","585,870","486,754","419,500","235,521"
